一级行业分类,二级行业分类,企业/机构名称,总部所在地,企业官网,核心品牌/产品/服务
,,,,,• 金融科技与企业服务：微信支付、腾讯云
互联网/科技,在线视频平台,芒果超媒 (Mango TV),中国长沙,‑_ www.mgtv.com,• 主平台：芒果TV（互联网视频平台，提供影视剧、综艺、动漫等）
,,,,,• 特色优势：背靠湖南广电，拥有强大的内容制作与版权资源
互联网/科技,信息与内容服务,百度集团,中国北京,‑_ www.baidu.com,• 核心产品：百度搜索、百度App
,,,,,• 短视频战略：好看视频 (百度旗下短视频旗舰品牌，定位泛知识短视频平台，是百度移动生态的重要内容组成部分) 
,,,,,• 内容分发：百家号 (内容创作平台，为好看视频等提供内容源)
互联网/科技,媒体与内容平台,芒果超媒,中国长沙,‑_ www.mangoguide.com,• 主品牌/平台：芒果TV (互联网视频平台，提供影视剧、综艺、动漫等长视频内容，并积极拓展短视频、电商等业务) 
,,,,,• 特色优势：背靠湖南广电，拥有强大的内容制作与版权资源
​制造业​,​传统车企转型​,​丰田汽车 (Toyota)​​,日本丰田市,‑_ toyota.com,• ​主品牌​：丰田
,,,,,• ​高端品牌​：雷克萨斯
​制造业​,​传统车企转型​,​大众汽车 (Volkswagen)​​,德国沃尔夫斯堡,‑_ volkswagenag.com,• ​主品牌​：大众
,,,,,• ​子品牌群​：奥迪， 保时捷等
​制造业​,​传统车企转型​,​梅赛德斯-奔驰​,德国斯图加特,‑_ mercedes-benz.com,• ​主品牌​：奔驰
,,,,,• ​性能品牌​：AMG
,,,,,• ​奢华品牌​：迈巴赫
​制造业​,​传统车企转型​,​吉利汽车 (Geely)​​,中国杭州,‑_ geely.com,• ​大众品牌​：吉利， 银河
,,,,,• ​高端品牌​：极氪， 领克
,,,,,• ​国际品牌​：沃尔沃， 路特斯等
​制造业​,​传统车企转型​,​上汽集团 (SAIC)​​,中国上海,‑_ saicmotor.com,• ​自主品牌​：智己 (高端)， 飞凡， 荣威， MG
,,,,,• ​合资品牌​：上汽大众， 上汽通用
​制造业​,​传统车企转型​,​长城汽车 (GWM)​​,中国保定,‑_ gwm.com.cn,• ​主品牌​：长城 (皮卡)
,,,,,• ​子品牌​：哈弗， 坦克， 魏牌， 欧拉
​制造业​,​传统车企转型​,​长安汽车 (Changan)​​,中国重庆,‑_ changan.com.cn,• ​主品牌​：长安
,,,,,• ​新能源品牌​：阿维塔， 深蓝， 启源
​制造业​,​传统车企转型​,​奇瑞汽车 (Chery)​​,中国芜湖,‑_ chery.cn,• ​主品牌​：奇瑞
,,,,,• ​子品牌​：星途 (高端)， 捷途， iCAR
​制造业​,​传统国有车企​,​中国一汽 (FAW)​​,中国长春,‑_ faw.com.cn,• ​主品牌​：红旗
,,,,,• ​合资品牌​：一汽-大众， 一汽丰田
,,,,,• ​自主品牌​：奔腾
金融机构,银行机构,摩根大通 (JPMorgan Chase),美国纽约,‑_ www.jpmorganchase.com,• 消费者与社区银行：Chase（零售银行、信用卡）
,,,,,• 企业与投资银行：J.P. Morgan（投行、市场服务）
,,,,,• 商业银行：摩根大通商业银行
金融机构,银行机构,中国工商银行 (ICBC),中国北京,‑_ www.icbc.com.cn,• 公司金融品牌体系：如“工银聚富”等
,,,,,• 个人金融品牌体系：如“融e行”、“工银e生活”
,,,,,• 重点产品：涵盖结算、投资、融资等多个领域
金融机构,银行机构,美国银行 (Bank of America),美国夏洛特,‑_ www.bankofamerica.com,• 零售银行：Bank of America Preferred Rewards（客户奖励计划）
,,,,,• 全球银行与市场：Merrill Lynch（美林，财富管理与投行业务）
,,,,,• 全球商业银行：Business Advantage系列产品
金融机构,银行机构,中国农业银行 (ABC),中国北京,‑_ www.abchina.com,• “农银”系列品牌：农银理财、农银人寿、农银基金
,,,,,• 对公业务：面向“三农”和县域经济的特色信贷产品
,,,,,• 零售业务：掌上银行、安心快贷
金融机构,银行机构,中国建设银行 (CCB),中国北京,‑_ www.ccb.com,• 公司金融：“禹道”系列现金管理、“惠市宝”
,,,,,• 零售金融：“建行财富”、“快贷”
,,,,,• 数字金融：“建行生活”平台
金融机构,银行机构,富国银行 (Wells Fargo),美国旧金山,‑_ www.wellsfargo.com,• 消费者银行与借贷：Wells Fargo Premier（高端客户服务）
,,,,,• 商业金融：Commercial Banking & Corporate Banking
,,,,,• 财富与投资管理：Wells Fargo Advisors
金融机构,银行机构,中国银行 (BOC),中国北京,‑_ www.boc.cn,• 全球金融服务：中银理财、中银证券、中银保险
,,,,,• 特色优势：跨境金融、贸易金融、外汇业务
,,,,,• 数字平台：中银E贷、手机银行
金融机构,银行机构,汇丰银行 (HSBC),英国伦敦,‑_ www.hsbc.com,"• 财富管理与个人银行：HSBC Advance, HSBC Premier, Jade"
,,,,,"• 工商金融：HSBC Business Banking, HSBCnet"
,,,,,• 全球银行与市场：Global Banking & Markets
金融机构,投资银行与证券机构,高盛集团 (Goldman Sachs),美国纽约,‑_ www.goldmansachs.com,• 全球银行与市场：投资银行、交易银行业务
,,,,,• 资产与财富管理：GSAM (Goldman Sachs Asset Management)
,,,,,• 平台业务：Marcus by Goldman Sachs（数字消费银行）
金融机构,投资银行与证券机构,摩根士丹利 (Morgan Stanley),美国纽约,‑_ www.morganstanley.com,• 机构证券：投资银行、销售与交易
,,,,,• 财富管理：Morgan Stanley Wealth Management
,,,,,• 投资管理：Morgan Stanley Investment Management
金融机构,投资银行与证券机构,中信证券 (CITIC Securities),中国深圳,‑_ www.citics.com,作为中信集团“联合舰队”协同模式的重要组成部分，其业务涵盖：
,,,,,• 投资银行业务
,,,,,• 经纪与交易业务
,,,,,• 资产管理与基金管理业务
金融机构,投资银行与证券机构,国泰君安 (Guotai Junan),中国上海,‑_ www.gtjas.com,• 机构数字服务品牌：“道合”
,,,,,• 财富管理：君弘财富管理品牌
,,,,,• 投资银行：股权融资、债务融资、并购重组
金融机构,保险机构,中国平安 (Ping An),中国深圳,‑_ www.pingan.com,集团品牌理念为“专业，让生活更简单”，旗下核心子公司包括：
,,,,,• 寿险：平安寿险
,,,,,• 财产险：平安产险
,,,,,• 银行：平安银行
,,,,,• 证券：平安证券（打造“有AI·懂你”的科技型券商品牌）
,,,,,• 科技：陆金所、金融壹账通
金融机构,保险机构,太平人寿 (Taiping Life),中国上海,‑_ www.tplife.com,作为中国太平保险集团核心成员，主要品牌/产品线包括：
,,,,,• 个人保险：寿险、健康险、意外险
,,,,,• 团体保险：企业员工福利计划
,,,,,• 财富管理与养老保险
金融机构,保险机构,阳光保险 (Sunshine Insurance),中国北京,‑_ www.sinosig.com,• 人寿保险：阳光人寿
,,,,,• 财产保险：阳光产险
,,,,,• 资产管理：阳光资产管理股份有限公司
金融机构,保险机构,华夏保险 (Huaxia Life Insurance),中国北京,‑_ www.hxlife.com,• 个人保险产品线：涵盖年金、重疾、医疗、寿险等
,,,,,• 团体保险：企业定制化保障方案
,,,,,• 财富管理与健康服务
金融机构,保险机构,众安在线 (ZhongAn Online),中国上海,‑_ www.zhongan.com,• 核心业务：数字化财产保险（如退货运费险、健康险等）
,,,,,• 科技输出：众安科技
,,,,,• 生态构建：依托场景的互联网保险创新
金融机构,保险机构,大地保险 (DaDi Insurance),中国上海,‑_ www.95590.cn,• 车险：机动车交通事故责任强制保险、商业车险
,,,,,• 非车险：财产险、责任险、意外健康险
,,,,,• 再保险业务
金融机构,保险机构,安盛保险 (AXA),法国巴黎,‑_ www.axa.com,• 核心业务：财产保险、寿险、储蓄与投资、资产管理
,,,,,• 区域品牌：安盛天平（中国财险市场）
金融机构,金融科技与专业金融服务,东方财富 (East Money),中国上海,‑_ www.eastmoney.com,• 资讯与数据：东方财富网
,,,,,• 交易平台：东方财富证券APP
,,,,,• 财富管理：天天基金网
金融机构,金融科技与专业金融服务,恒生电子 (Hundsun Technologies),中国杭州,‑_ www.hundsun.com,• 投资交易平台：UF系列、O系列等为券商等机构提供核心系统
,,,,,• 资产管理IT解决方案
,,,,,• 财富科技IT解决方案
金融机构,金融科技与专业金融服务,Visa,美国旧金山,‑_ www.visa.com,• 核心网络：VisaNet
,,,,,"• 产品体系：Visa Platinum, Visa Signature, Visa Infinite等不同等级卡产品"
,,,,,"• 创新解决方案：Visa Direct (快速支付), Visa Token Service (安全支付)"
金融机构,金融科技与专业金融服务,美国运通 (American Express),美国纽约,‑_ www.americanexpress.com,• 核心产品：美国运通百夫长卡（American Express Centurion Card）
,,,,,• 商户服务：American Express Merchant Services
,,,,,• 商业服务：American Express Business
金融机构,金融科技与专业金融服务,贝莱德 (BlackRock),美国纽约,‑_ www.blackrock.com,• 投资平台：阿拉丁（Aladdin）系统
,,,,,• ETF品牌：iShares（安硕）
,,,,,• 投资解决方案：为机构和个人客户提供全面服务
房地产/建筑业,房地产开发企业,保利发展控股,中国广州,‑_ www.polydev.com,• 住宅开发系列：保利和系、天字系（如保利天悦）、香槟系 
,,,,,• 商业地产：保利商业、保利广场
,,,,,• 不动产生态平台：涵盖开发、经营、综合服务
房地产/建筑业,房地产开发企业,中海地产,中国深圳,‑_ www.coli.com.hk,• 主流产品线：中海寰宇系、中海甲叁系 
,,,,,• 高端豪宅：中海地产（作为企业品牌，项目品牌通常冠以“中海·”前缀，如中海·甲叁號院）
房地产/建筑业,房地产开发企业,华润置地,中国北京,‑_ www.crland.com.hk,• 住宅产品线：瑞府系、悦府系、万象系 
,,,,,• 商业地产品牌：万象城、万象天地、万象汇
,,,,,• 生态服务：有巢公寓（住房租赁）、华润物业
房地产/建筑业,房地产开发企业,万科企业,中国深圳,‑_ www.vanke.com,• 企业品牌：万科 
,,,,,• 经典项目系列：万科城市花园、万科城、万科金色家园 
,,,,,• 产品系列：金色系列、四季系列
房地产/建筑业,房地产开发企业,绿城中国,中国杭州,‑_ www.greentown.com.hk,‑_ • 核心业务：绿城房地产集团有限公司（主品牌）
,,,,,• 代建业务：绿城管理（上市代码：9979.HK）
,,,,,• 产品系列：桃花源系（中式别墅）、凤起系（都市豪宅）
房地产/建筑业,房地产开发企业,龙湖集团,中国北京,‑_ www.longfor.com,• 住宅开发：龙湖（企业品牌统领项目，如龙湖·云河玉陛）
,,,,,• 商业地产品牌：天街、星悦荟 
,,,,,• 智慧服务：龙湖智创生活
房地产/建筑业,房地产开发企业,滨江集团,中国杭州,‑_ www.bj001.com.cn,• 企业品牌：滨江集团
,,,,,• 项目品牌：通常冠以“滨江·”前缀，如滨江·万家花城、滨江·金色家园
房地产/建筑业,房地产开发企业,碧桂园,中国佛山,‑_ www.countrygarden.com.cn,• 企业品牌：碧桂园（主品牌）
,,,,,• 核心产品系列：碧桂园（大众市场）、劳斯堡（高端）
房地产/建筑业,房地产开发企业,恒大地产,中国深圳,‑_ www.evergrande.com,• 企业品牌：恒大集团（主品牌）
,,,,,• 项目品牌：恒大御景半岛、恒大华府、恒大金碧天下
房地产/建筑业,建筑与工程建设企业,中国建筑,中国北京,‑_ www.cscec.com,• 工程承包：中国建筑（主品牌）
,,,,,• 地产业务：中海地产（子品牌）
,,,,,• 勘察设计：中国中建设计研究院
房地产/建筑业,建筑与工程建设企业,中国中铁,中国北京,‑_ www.crecg.com,• 工程承包：中国中铁（主品牌）
,,,,,• 专业板块：中铁一局至中铁十局等工程局
房地产/建筑业,建筑与工程建设企业,中国电建,中国北京,‑_ www.powerchina.cn,• 工程承包：中国电建（主品牌）
,,,,,• 投资运营：电建地产（地产业务）
,,,,,• 设计咨询：华东院、西北院等设计院
房地产/建筑业,建筑与工程建设企业,中国铁建,中国北京,‑_ www.crcc.cn,• 工程承包：中国铁建（主品牌）
,,,,,• 专业板块：中铁十一局至中铁二十五局等工程局
房地产/建筑业,建筑与工程建设企业,上海建工,中国上海,‑_ www.scg.com.cn,• 工程承包：上海建工（主品牌）
,,,,,• 房产开发：上海建工房产
,,,,,• 建材工业：上海建工建材
房地产/建筑业,建筑与工程建设企业,中国交建,中国北京,‑_ www.ccccltd.cn,• 工程承包：中国交建（主品牌）
,,,,,• 专业板块：中交一公局至中交四公局等工程局
房地产/建筑业,建筑与工程建设企业,陕西建工,中国西安,‑_ www.sxceg.com,• 工程承包：陕西建工（主品牌）
,,,,,• 专业板块：陕建一建至陕建十二建等子公司
房地产/建筑业,建筑与工程建设企业,安徽建工,中国合肥,‑_ www.aceg.com.cn,• 工程承包：安徽建工（主品牌）
,,,,,• 投资运营：安徽水利
,,,,,• 建材工业：安徽建工建材
房地产/建筑业,专业化与新兴建筑企业,远大住工,中国长沙,‑_ www.bhome.com.cn,• 核心业务：远大住工（主品牌）
,,,,,• 产品体系：远大魔方（模块化建筑产品）
房地产/建筑业,专业化与新兴建筑企业,精工钢构,中国绍兴,‑_ www.jjgjg.com,• 核心业务：精工钢构（主品牌）
,,,,,• 业务范围：钢结构研发、设计、制造、安装、检测
房地产/建筑业,专业化与新兴建筑企业,杭萧钢构,中国杭州,‑_ www.hx-steel.com,• 核心业务：杭萧钢构（主品牌）
,,,,,• 技术体系：杭萧钢构钢结构住宅体系
房地产/建筑业,专业化与新兴建筑企业,山东高速工程建设集团,中国济南,‑_ www.sdhsg.com,• 核心业务：山东高速工程建设（主品牌）
,,,,,• 业务范围：公路、桥梁、隧道、市政工程建设
能源/化工,石油与天然气,中国石油 (CNPC),中国北京,‑_ www.cnpc.com.cn,• 主品牌：中国石油 (CNPC)
,,,,,• 上市子公司：中国石油股份 (PetroChina)
,,,,,• 服务品牌：昆仑系列 (昆仑润滑、昆仑能源) 
,,,,,• 产品品牌：邦昊 (BOPP薄膜料)
能源/化工,石油与天然气,中国石化 (Sinopec),中国北京,‑_ www.sinopecgroup.com,• 主品牌：中国石化 (Sinopec)
,,,,,"• 业务品牌：易捷 (便利店), 易派客 (工业品电商), 爱跑 (燃油), 长城润滑油"
,,,,,"• 技术/材料品牌：易能问地 (油气绿色开发), 善解 (可降解材料)"
能源/化工,石油与天然气,中国海油 (CNOOC),中国北京,‑_ www.cnooc.com.cn,• 主品牌：中国海油 (CNOOC)
,,,,,"• 业务板块：中海油有限公司 (上市), 中海油服, 海油工程, 中海化学 (化肥)"
能源/化工,石油与天然气,延长石油,中国陕西西安,‑_ www.ycpc.com.cn,• 主品牌：延长石油
,,,,,• 产品线：涉及油气勘探开发、炼油加工、化工产品等
能源/化工,石油与天然气,埃克森美孚 (ExxonMobil),美国欧文 (Irving),‑_ corporate.exxonmobil.com,• 主品牌：埃克森美孚 (ExxonMobil)
,,,,,"• 产品品牌：美孚 (Mobil, 润滑油), 埃索 (Esso)"
能源/化工,石油与天然气,壳牌 (Shell),英国伦敦,‑_ www.shell.com,• 主品牌：壳牌 (Shell)
,,,,,"• 产品与服务：壳牌喜力润滑油 (Helix Ultra), 壳牌劲霸润滑油 (Rimula), V-Power燃油, 壳牌天然气 (Shell LNG)"
能源/化工,石油与天然气,沙特阿美 (Aramco),沙特阿拉伯达兰 (Dhahran),‑_ www.aramco.com,• 主品牌：沙特阿美 (Aramco)
,,,,,• 技术品牌/合资企业：涉及上游油气生产、炼化、化工等多个领域
能源/化工,煤化工,中国神华,中国北京,‑_ www.shenhuachina.com,• 主品牌：中国神华 (国家能源集团核心子公司)
,,,,,• 业务板块：煤炭、电力、铁路、港口、煤制油化工一体化运营
能源/化工,煤化工,中煤能源,中国北京,‑_ www.chinacoal.com,• 主品牌：中煤能源
,,,,,• 业务范围：煤炭生产贸易、煤化工、煤矿装备制造等
能源/化工,煤化工,陕西煤业,中国陕西西安,‑_ www.sxcoal.com,• 主品牌：陕西煤业 (陕煤集团核心子公司)
,,,,,• 业务范围：煤炭开采、煤化工（如蒲城清洁能源）等
能源/化工,煤化工,宝丰能源,中国宁夏银川,‑_ www.baofengenergy.com,• 主品牌：宝丰能源
,,,,,• 业务特色：以煤为原料的烯烃生产商，积极布局绿氢耦合等领域
能源/化工,综合化工与新材料,万华化学,中国山东烟台,‑_ www.whchem.com,• 主品牌：万华化学 (Wanhua Chemical)
,,,,,"• 核心产品：MDI, TDI等聚氨酯系列产品，石化产品，精细化学品及新材料"
能源/化工,综合化工与新材料,中国中化 (Sinochem),中国北京,‑_ www.sinochem.com,• 主品牌：中国中化 (与先正达集团协同)
,,,,,"• 核心业务品牌：先正达集团 (Syngenta Group), 安道麦 (ADAMA), 扬农化工, 埃肯 (Elkem) 等"
能源/化工,综合化工与新材料,恒力石化,中国辽宁大连,‑_ www.hengli.com,• 主品牌：恒力石化 (Hengli Petrochemical)
,,,,,• 产业链：涵盖石化、聚酯新材料、纺织等全产业链
能源/化工,综合化工与新材料,荣盛石化,中国浙江杭州,‑_ www.rong-sheng.com,"• 主品牌：荣盛石化 (Zhejiang Petroleum & Chemical Co., Ltd.)"
,,,,,"• 核心业务：大型炼化一体化项目， PX, PTA, 化工新材料等"
能源/化工,新能源与光伏,国家能源投资集团,中国北京,‑_ www.ceic.com,• 主品牌：国家能源集团 (China Energy)
,,,,,"• 产业品牌：国能电力, 国能新能源, 国能运输, 国能化工"
,,,,,"• 子公司品牌：中国神华, 国电电力, 龙源电力 (风电)"
能源/化工,新能源与光伏,天合光能 (Trinasolar),中国江苏常州,‑_ www.trinasolar.com,• 主品牌：天合光能 (Trinasolar)
,,,,,• 核心产品/解决方案：光伏组件，储能系统，智慧能源解决方案
能源/化工,新能源与光伏,阿特斯 (CSI Solar),中国江苏苏州,‑_ www.csisolar.com,• 主品牌：阿特斯 (CSI Solar) (阿特斯阳光电力集团旗下)
,,,,,• 核心业务：光伏组件制造、储能系统解决方案、项目开发
能源/化工,新能源与光伏,阳光电源 (Sungrow),中国安徽合肥,‑_ www.sungrowpower.com,• 主品牌：阳光电源 (Sungrow)
,,,,,• 核心产品：光伏逆变器，储能系统，新能源汽车驱动系统，水面光伏系统
能源/化工,电力及能源投资,中国华能 (CHNG),中国北京,‑_ www.chng.com.cn,• 主品牌：中国华能
,,,,,• 业务板块：致力于建设世界一流的现代化清洁能源企业
能源/化工,电力及能源投资,中国华电,中国北京,‑_ www.chd.com.cn,• 主品牌：中国华电 (China Huaneng Group 关联企业)
,,,,,• 业务范围：电力生产、热力供应、煤炭开发及相关专业技术服务
能源/化工,电力及能源投资,国家电力投资集团 (SPIC),中国北京,‑_ www.spic.com.cn,• 主品牌：国家电投 (SPIC)
,,,,,• 特色品牌：专注于光伏、核能、综合智慧能源等清洁能源领域
能源/化工,电力及能源投资,大唐发电,中国北京,‑_ www.china-cdt.com,• 主品牌：大唐发电 (中国大唐集团核心子公司)
,,,,,• 业务范围：火力发电、可再生能源发电、煤炭勘探开发等
